strain,isolate,well,growth.rate,GFP.rate,other.rate,run
EV112,C,C9,1.4422811969029623,542.8208386276993,NA,41
EV127,A,G1,1.2633270755260386,804.7455688965129,NA,41
EV127,A,G2,1.3466113636752004,417.562724014337,NA,41
EV127,A,G3,1.3290239359360587,431.50851581508533,NA,41
EV127,A,G4,1.405768605625613,662.7414036740461,NA,41
EV127,A,G5,1.3465578486652676,678.267594740912,NA,41
EV127,A,G6,1.4171209758394299,456.43708931613565,NA,41
EV127,B,G10,1.4402451271579317,822.0188498838946,NA,41
EV127,B,G11,1.513882416906775,416.45024244516827,NA,41
EV127,B,G12,1.5256839770968416,535.949174533578,NA,41
EV127,B,G7,1.4098469926179016,418.1619979667578,NA,41
EV127,B,G8,1.399157138046783,459.6685660515449,NA,41
EV127,B,G9,1.4306865597199474,640.6015037593978,NA,41
EV127,C,H3,1.3060362792709275,726.3734152900505,NA,41
EV127,C,H4,1.3515443299856646,538.873994638069,NA,41
EV127,C,H5,1.4557066424676375,425.79086948285664,NA,41
EV127,C,H6,1.3335208991380458,468.78709932726565,NA,41
EV127,C,H7,1.3643072579164621,576.7072029934517,NA,41
EV127,C,H8,1.3912481801865457,605.1344743276285,NA,41
EV373,A,D1,1.4418467945331814,604.3199248708717,NA,41
EV373,A,D2,1.4141190512425164,438.32132259431876,NA,41
EV373,A,D3,1.5218825256269417,565.0075414781302,NA,41
EV373,A,D4,1.504298200521787,735.2500748727168,NA,41
EV373,A,D5,1.4440739467614536,396.9136253931105,NA,41
EV373,A,D6,1.3801919562530807,397.3992197659299,NA,41
EV373,B,D10,1.4244885588984855,586.5156017830611,NA,41
EV373,B,D11,1.4991799906974705,532.7325735488995,NA,41
EV373,B,D12,1.5674597389703897,818.1818181818185,NA,41
EV373,B,D7,1.4767792222906775,509.247886713388,NA,41
EV373,B,D8,1.4794087520884842,425.73146002317543,NA,41
EV373,B,D9,1.4849473884998292,1107.5297941495119,NA,41
EV373,C,E1,1.4001582985755148,485.7992565055764,NA,41
EV373,C,E2,1.467749441352102,479.66322779556555,NA,41
EV373,C,E3,1.2660817863305012,532.8562407914123,NA,41
EV373,C,E4,1.5429533787514296,555.69372890389,NA,41
EV373,C,E5,1.4168649648886578,865.2367462565752,NA,41
EV373,C,E6,1.6084436523003585,607.6040913317495,NA,41
EV106,A,A1,1.152188763519936,549.4900565762836,NA,42
EV106,A,A2,1.3297006116329837,419.67896307545595,NA,42
EV106,A,A3,1.1840380355112914,627.8642323244707,NA,42
EV106,A,A4,1.2421662745112627,460.2831180070474,NA,42
EV106,A,A5,1.3000505584287563,510.026853436769,NA,42
EV106,A,A6,1.2310454755228197,427.3794711473111,NA,42
EV106,B,A10,1.1410669319855442,430.36615483732464,NA,42
EV106,B,A11,1.2386460135566684,401.4278429372774,NA,42
EV106,B,A12,1.235742595427126,432.652687482831,NA,42
EV106,B,A7,1.0446888035009283,359.30957327792873,NA,42
EV106,B,A8,1.2201180389992725,394.07635349552874,NA,42
EV106,B,A9,1.1894910912304475,576.0047165176383,NA,42
EV106,C,B1,1.2104047361122396,471.9208679004468,NA,42
EV106,C,B2,1.2850030145531974,490.82568807339504,NA,42
EV106,C,B3,1.2124737551386295,597.068403908795,NA,42
EV106,C,B4,1.271644156959458,365.0943396226416,NA,42
EV106,C,B5,1.1698555354324105,460.61053668143717,NA,42
EV106,C,B6,1.1463665255214246,463.09370988446744,NA,42
EV109,A,F1,1.2615422470284985,952.1754345036743,NA,42
EV109,A,F2,1.4027648315240313,392.43402238744943,NA,42
EV109,A,F3,1.268900490474206,616.4754415366771,NA,42
EV109,A,F4,1.3524484179144647,777.4518556306597,NA,42
EV109,A,F5,1.2238081294968182,943.2475686322791,NA,42
EV109,A,F6,1.2622896362928597,651.800174411362,NA,42
EV109,B,F10,0.9021456350781429,275.8787623658176,NA,42
EV109,B,F11,1.0240710875214565,538.1804298025528,NA,42
EV109,B,F12,0.9885559502541268,506.2461601474509,NA,42
EV109,B,F7,0.9814112931071532,433.0953827460507,NA,42
EV109,B,F8,0.9323621998583406,473.47328244274877,NA,42
EV109,B,F9,0.9841916462618382,738.0467012601931,NA,42
EV109,C,E10,0.9874075670521002,344.9676758398983,NA,42
EV109,C,E11,0.9769699302377788,558.8992278756687,NA,42
EV109,C,E12,0.8730445503623896,391.94377177957625,NA,42
EV109,C,E7,0.9127154926016111,490.6348580441644,NA,42
EV109,C,E8,0.9317589580710951,322.4649363211349,NA,42
EV109,C,E9,1.1035512316716773,380.27407140281224,NA,42
EV112,A,B10,1.192265191171158,394.81117271681205,NA,42
EV112,A,B11,1.238200510902356,793.4008876978473,NA,42
EV112,A,B12,1.2772826008313394,947.8623566214808,NA,42
EV112,A,B7,1.1061111667862884,544.116403011589,NA,42
EV112,A,B8,1.1853786280872565,493.0681709532459,NA,42
EV112,A,B9,1.1570677189886838,427.1742257167515,NA,42
EV112,B,C1,1.313812415004509,335.6777023549881,NA,42
EV112,B,C2,1.1002236269313954,554.5759463344515,NA,42
EV112,B,C3,1.1164261367939048,664.527481627161,NA,42
EV112,B,C4,1.1123619918108454,632.956079327173,NA,42
EV112,B,C5,1.0815494943583759,465.2775588689595,NA,42
EV112,B,C6,1.160115099295279,362.50214314917633,NA,42
EV112,C,C10,1.2326548217102022,511.96353968856874,NA,42
EV112,C,C11,1.5859661420737585,585.0746268656721,NA,42
EV112,C,C12,1.5486355168265957,565.9293306521107,NA,42
EV112,C,C7,1.2837423633395861,558.9685248388325,NA,42
EV112,C,C8,1.3837543598530497,650.9893891597354,NA,42
EV112,C,C9,1.4737747887304162,1294.7836635665183,NA,42
EV127,A,G1,1.5378856891338097,643.1311265804804,NA,42
EV127,A,G2,1.5111333812097665,421.81920033611146,NA,42
EV127,A,G3,1.3383104280061278,399.57620705312615,NA,42
EV127,A,G4,1.362813623048459,393.04273399767703,NA,42
EV127,A,G5,1.4024612953987394,442.3417290673929,NA,42
EV127,A,G6,1.6264454739100063,886.2369586965842,NA,42
EV127,B,G10,1.560808201821302,476.3167866616142,NA,42
EV127,B,G11,1.636195829401132,570.0890764181913,NA,42
EV127,B,G12,1.561371869537434,470.47884704788504,NA,42
EV127,B,G7,1.3871574075959208,636.0880986057794,NA,42
EV127,B,G8,1.3518998046969393,527.0304893671531,NA,42
EV127,B,G9,1.4426580348870663,428.7183155259513,NA,42
EV127,C,H3,1.4783297717960142,429.31015646811755,NA,42
EV127,C,H4,1.3736022567357629,746.4092664092664,NA,42
EV127,C,H5,1.4503828191614776,486.478020256865,NA,42
EV127,C,H6,1.4162331090862446,600.7113687261225,NA,42
EV127,C,H7,1.635553024583735,469.9144800479036,NA,42
EV127,C,H8,1.47198626046002,827.0115854626251,NA,42
EV373,A,D1,1.3664525483483327,438.47932185974884,NA,42
EV373,A,D2,1.487380590976834,1029.0304396843296,NA,42
EV373,A,D3,1.5502411866275017,443.7271961829926,NA,42
EV373,A,D4,1.468319392946674,465.15364531030275,NA,42
EV373,A,D5,1.4785707906695253,451.9698443579766,NA,42
EV373,A,D6,1.385529991981076,474.12512625512466,NA,42
EV373,B,D10,1.4622172953204573,582.5545171339567,NA,42
EV373,B,D11,1.4754835319344508,1054.8763150412274,NA,42
EV373,B,D12,1.6049296825489292,583.3095984050123,NA,42
EV373,B,D7,1.4373119646210015,375.5323267518396,NA,42
EV373,B,D8,1.4274515607501388,789.3653516295025,NA,42
EV373,B,D9,1.459149888407517,787.1033776867964,NA,42
EV373,C,E1,1.2954160639815568,774.0414833438092,NA,42
EV373,C,E2,1.7050331570598072,447.79171210468917,NA,42
EV373,C,E3,1.2467154305188646,1088.7026870846576,NA,42
EV373,C,E4,1.8543618199725747,928.3561643835615,NA,42
EV373,C,E5,1.3565696973156034,846.6964285714282,NA,42
EV373,C,E6,1.3847797409287907,819.7890818858567,NA,42
EV106,A,A1,1.1318943441134448,687.3046078564637,NA,43
EV106,A,A2,1.0835047811270382,468.59408980427276,NA,43
EV106,A,A3,1.143025970608118,552.9524794915379,NA,43
EV106,A,A4,1.1123311095637645,623.8439703323871,NA,43
EV106,A,A5,1.1979971310055193,540.9985792571533,NA,43
EV106,A,A6,1.1509394499980834,472.94484911550467,NA,43
EV106,B,A10,1.0096208331541838,408.81646432513224,NA,43
EV106,B,A11,1.0349475581570378,401.4001016202789,NA,43
EV106,B,A12,0.9588716007786031,308.48489039485577,NA,43
EV106,B,A7,0.96795040412721145,310.4425196618021,NA,43
EV106,B,A8,0.9375241214741422,403.0209062718828,NA,43
EV106,B,A9,0.9840784693597776,357.28555777534325,NA,43
EV106,C,B1,0.9223539060937437,337.07529451937836,NA,43
